question	answers
If a man reduces the selling price of a fan from Rs.400 to Rs.380, his loss increases by 2%. The cost price of the fan is	"Given:
Initial selling price = Rs. 400
New selling price = Rs. 380
Increase in loss = 2%

Let the cost price of the fan be Rs. x.

Initially, the loss was (400 - x) and after reducing the selling price to Rs. 380, the new loss is (380 - x).

According to the given information, there is a 2% increase in loss:
(380 - x) = (1 + 0.02)(400 - x)
Solving this equation will give us the value of x, which is the cost price of the fan.

Expanding and solving for x:
380 - x = 1.02 * 400 - 1.02x
380 - x = 408 - 1.02x
0.02x = 28
x = Rs.1400

Therefore, the cost price of the fan is Rs.1400.

Answer: E) None"
A small business invests $9,800 in equipment to produce a product. Each unit of the product costs $0.65 to produce and is sold for $1.20. How many units of the product must be sold before the revenue received equals the total expense of production, including the initial investment in equipment?	"Let's break down the problem step by step:

1. Calculate the profit per unit:
   - Profit per unit = Selling price per unit - Cost to produce per unit
   - Profit per unit = $1.20 - $0.65
   - Profit per unit = $0.55

2. Calculate the total expense of production, including the initial investment:
   - Total expense = Initial investment + (Cost to produce one unit * Number of units)
   - Total expense = $9,800 + ($0.65 * x), where x is the number of units

3. Calculate the revenue received when selling x units:
   - Revenue received = Selling price per unit * Number of units sold
   - Revenue received = $1.20 * x

4. Set up an equation to find the break-even point when revenue equals total expenses:
   Revenue received = Total expense
   $1.20x = $9,800 + ($0.65x)

5. Solve for x (number of units):
   $1.20x = $9,800 + ($0.65x)
   0.55x = 9800
   x ≈ 17818

Rationale: To find how many units"
The function P~ can be expressed as 2-P for all values of P. What is the value of (7~)~?	"Given that the function P~ can be expressed as 2-P for all values of P.

To find the value of (7~)~, we first need to evaluate what 7~ is:
7~ = 2 - 7 = -5

Now, we substitute this value back into the function:
(-5)~ = 2 - (-5) = 2 + 5 = 7

Therefore, the value of (7~)~ is 7.

Answer: A) 7"
A tailor had a number of shirt pieces to cut from a roll of fabric. He cut each roll of equal length into 12 pieces. He cut at the rate of 40 cuts a minute. How many rolls would be cut in 30 minutes ?	"Let's calculate the number of cuts the tailor makes in 30 minutes first.

Number of cuts in 1 minute = 40
Number of cuts in 30 minutes = 40 * 30 = 1200

Since each roll is cut into 12 pieces, the number of rolls cut will be:
Number of rolls cut = Total cuts / Cuts per roll = 1200 / 12 = 100

Therefore, in 30 minutes, the tailor would have cut through approximately **100 rolls**.

Answer: C)107"
3 men and 3 women need to be seated in 2 rows with 3 chairs in each row. All men have to be seated in the back row. How many ways can this be done?	"To solve this problem, we can first seat the men in the back row since they have to be seated there. Then, we can arrange the women in the front row.

1. Seating the men:
Since all 3 men need to be seated in the back row, there is only one way to arrange them.

2. Seating the women:
Now, we have 3 women left to be seated in a row of 3 chairs. We can calculate this using permutations.
There are 3 women and 3 chairs in the front row, so we need to find how many ways these 3 women can be arranged in these 3 chairs.
This is given by \( ^{3}P_{3} = \frac{3!}{(3-3)!} = \frac{6}{0!} = 6 \) ways.

Therefore, the total number of ways that this seating arrangement can be done is \(1 (men) * 6 (women) = 6\) ways.

Answer: A)6"
If a number is chosen at random from the set {1, 2, 3, ...., 100}, then the probability that the chosen number is a perfect cube is?	"To find the probability that a randomly chosen number from the set {1, 2, 3, ..., 100} is a perfect cube, we first need to determine how many perfect cubes are there in this set.

The perfect cubes less than or equal to 100 are: 1^3 = 1, 2^3 = 8, 3^3 = 27, and so on until (4)^3 =64. So there are a total of four perfect cubes in the set {1, 2, ...,100}.

Since there are a total of \(100\) numbers in the set and only \(4\) of them are perfect cubes, the probability of choosing a perfect cube is given by:

\[ \text{Probability} = \frac{\text{Number of favorable outcomes}}{\text{Total number of outcomes}} \]

\[ \text{Probability} = \frac{4}{100} \]

\[ \text{Probability} = \frac{1}{25} \]

Therefore, the probability that the chosen number is a perfect cube is \( \frac{1}{25} \).

Answer: A) \(1/25\)"
A train running between two stations A and B arrives at its destination 10 minutes late when its speed is 50 km/h and 50 minutes late when its speed is 30 km/h. What is the distance between the stations A and B ?	"Given:
Let the distance between stations A and B be x km.
Let the actual time taken by the train to travel this distance at 50 km/h be t hours.

According to the given information:
At 50 km/h, it arrives 10 minutes late, so the time taken = t + (10/60) hours.
At 30 km/h, it arrives 50 minutes late, so the time taken = t + (50/60) hours.

Using the formula: Speed = Distance / Time

For speed of 50 km/h:
\(x = 50 * (t + \frac{1}{6})\) 

For speed of 30 km/h:
\(x = 30 * (t + \frac{5}{6})\)

Now equate both expressions for x:

\(50 * (t + \frac{1}{6}) = 30 * (t + \frac{5}{6})\)

Solving for t:

\(50t + \frac{50}{6} = 30t + \frac{150}{6}\)

\(20t = \frac{100}{6}\)

\(t = \frac{5}{3}\) hours

Substitute back to find x:

\("
The H.C.F and L.C.M. of two numbers are 50 and 100 respectively. If the first number is divided by 2, the quotient is 50, the second number is:	"Given:
H.C.F = 50
L.C.M. = 100
Quotient when the first number is divided by 2 = 50

Let the two numbers be a and b.

We know that product of two numbers = H.C.F * L.C.M.
So, a * b = 50 * 100
a * b = 5000   (1)

Also, we are given that when the first number is divided by 2, the quotient is 50.
This means a/2 = 50
a = 100   (2)

Substitute equation (2) into equation (1):
100 * b = 5000
b = 5000 /100
b=50

Therefore, the second number is equal to 50.

Answer: A)50"
Bert and Ernie are among 12 tenants on Sesame Street, from which 9 tenants are to be selected for the neighborhood watch. Of the different possible selections, how many contain neither Bert nor Ernie?	"To solve this problem, we first need to find the number of ways to select 9 tenants from the remaining 10 tenants excluding Bert and Ernie. This can be calculated using combinations.

Let's denote Bert and Ernie as special cases, so they cannot be selected. We have a total of 12 - 2 = 10 tenants to choose from.

The number of ways to select 9 tenants out of these 10 is given by C(10, 9) which is calculated as:
C(n, r) = n! / (r!(n-r)!)

C(10, 9) = 10! / (9!(10-9)!)
C(10, 9) = (10 * 9!) / (9! *1)
C(10, 9) = 10

Therefore, there are a total of 10 ways to select a group of nine tenants that do not include Bert or Ernie.

Answer: D) '10'"
There are N numbers of gold biscuits in the house, in which four people are lived. If the first men woke up and divided the biscuits into 5 equal piles and found one extra biscuit. He took one of those piles along with the extra biscuit and hid them. He then gathered the 4 remaining piles into a big pile, woke up the second person and went to sleep. Each of the other 3 persons did the same one by one i.e. divided the big pile into 5 equal piles and found one extra biscuit. Each hid one of the piles along with the extra biscuit and gathered the remaining 4 piles into a big pile. If N>1000, what could be the least value of N?	"Rationale: Let's work backwards to find the least value of N. 

1. After the fourth person, there are 5 piles left, each with one extra biscuit.
2. Before the fourth person hid a pile, there were 25 piles (5 piles from the third person * 5).
3. Before the third person hid a pile, there were 125 piles (25 piles from the second person * 5).
4. Before the second person hid a pile, there were 625 piles (125 piles from the first person * 5).

So, if N is greater than or equal to 625 and follows this process, then it could be divided into these many biscuits.

Answer: D)1000"
The average age of the first seven people to arrive at Nikhil’s birthday is 21. When Vijay (29) arrived, the mean age is increased to 22. Marry (also 29) arrived next. The tenth and last person to arrive at Nikhil's party is Nikhil himself, and the mean age increased to 30 years. How old is Nikhil on his birthday?	"Let's break down the information given in the question step by step:

1. The average age of the first seven people is 21.
2. When Vijay (29) arrives, the mean age becomes 22.
3. Marry (also 29) arrives next.
4. Nikhil is the tenth and last person to arrive, and then the mean age becomes 30.

Now let's calculate Nikhil's age:

Step 1: Initially, for the first seven people:
Total age = 7 * 21 = 147

Step 2: When Vijay arrives:
Total age = Total previous age + Vijay's age = 147 + 29 = 176
Number of people now = 8

Step 3: After Marry arrives:
Total age = Total previous age + Marry's age =176 +29=205
Number of people now=9

Step4: When Nikhil arrives:
Let Nikhil's Age be N
Total Age=(205+N)
Number of People=10
Given Average=(205+N)/10=30
Solving this equation gives N=95

Therefore, Nikhil is **95 years old** on his birthday.

Answer: B)95"
Marla starts running around a circular track at the same time Nick starts walking around the same circular track. Marla completes 32 laps around the track per hour and Nick completes 12 laps around the track per hour. How many minutes after Marla and Nick begin moving will Marla have completed 5 more laps around the track than Nick?	"Let's first find the difference in the number of laps Marla and Nick complete per hour:
Marla completes 32 laps per hour and Nick completes 12 laps per hour.
So, Marla completes 32 - 12 = 20 more laps than Nick in one hour.

Now, we need to find out how many minutes it will take for Marla to complete 5 more laps than Nick:
Since Marla completes 20 more laps than Nick in one hour, she needs (5/20) * 60 minutes to complete 5 more laps than Nick.
This simplifies to (1/4) * 60 = 15 minutes.

Therefore, after moving for 15 minutes, Marla will have completed exactly 5 more laps around the track than Nick.

Answer: D)15"
Proportion of Yuvaraj’s age to Ganguly’s age is 4:3. Yuvaraj will be 26 years old after 6 years. What is the age of Ganguly now?	"Given:
- The proportion of Yuvaraj’s age to Ganguly’s age is 4:3.
- Yuvaraj will be 26 years old after 6 years.

Let's denote the current ages of Yuvaraj and Ganguly as \(4x\) and \(3x\) respectively, where \(x\) is a positive integer representing the common factor in their ages based on the given proportion.

After 6 years, Yuvaraj's age will be \(4x + 6 = 26\).
Solving for \(x\):
\(4x + 6 = 26\)
\(4x = 20\)
\(x = \frac{20}{4}\)
\(x = 5\)

Now we can find the current age of Ganguly:
Ganguly's current age = \(3 \times x\)
Ganguly's current age = \(3 \times 5\)
Ganguly's current age = 15

Therefore, the current age of Ganguly is 15 years.

Answer: A)15 years"
A man says that he gained 10 percent as profit in selling a suitable cloth material. He says if he had purchased the same one 10 percent cheaper than it was actual and if he had sold it for 20% profit he gets 25paise less. find at what price he sold the suit?	"Let's denote the original cost price of the cloth material as $x.

Given that the man gained a 10% profit when he sold it at the original price, his selling price would be \(1.10x\).

If he had purchased it 10% cheaper than its actual price, his new cost price would be \(0.90x\). And if he had sold it for a 20% profit at this new cost price, his selling price would be \(1.20*0.90x = 1.08x\).

According to the problem, selling at this new lower purchase and higher selling prices results in him getting 25 paise less compared to his initial sale:
\[1.10x - (1.08x + 0.25) = 0 \]
\[1.10x - 1.08x - 0.25 = 0 \]
\[0.02x = 0.25 \]
\[ x = \frac{0.25}{0.02} \]
\[ x =12 .5\]

Therefore, the original cost price of the cloth material was Rs12 .5.
The selling price is given by \(1 .10 *12 .5=13 .75"
Tanya's grandfather was 8 times older to her 16 years ago. He would be 3 times of her age 8 years from now. What was ratio of ages of Tanya and her grandfather 8 years ago.	"Let's denote Tanya's current age as T and her grandfather's current age as G.

From the given information:
1. 16 years ago, Tanya's grandfather was 8 times older than Tanya:
G - 16 = 8(T - 16)

2. In 8 years from now, Tanya's grandfather will be 3 times of her age:
G + 8 = 3(T + 8)

Now, we can solve these two equations to find the current ages of Tanya and her grandfather.

Expanding the first equation:
G - 16 = 8T -128
G = 8T -112

Substitute G in the second equation:
8T -112 + 8 =3T +24
5T=96
T=19.2

Now, substitute back to find G:
G= (8*19.2) -112
G=153.6-112
G=41.6

Therefore, the ratio of ages of Tanya and her grandfather is:

(41.6-16)/(19.2-16) =25.6/3.2 =32/4 =11/1

So, the ratio of ages of Tanya and her"
The least possible value of |89 - 9a|, where a is an integer, is	"Given the expression |89 - 9a|, we want to find the least possible value when a is an integer.

To minimize this expression, we need to consider two cases:
1. When 89 - 9a is positive: In this case, we want to make 9a as large as possible while keeping it less than or equal to 89.
2. When 89 - 9a is negative: In this case, we want to make 9a as small as possible while still being greater than or equal to 89.

Let's analyze these cases:

1. When 89 - 9a is positive:
   The largest multiple of 9 less than or equal to 89 is when a = 10 (since \(10 \times 9 =90 >89\)).
   So, if a = 10, then |89 - (9*10)| = |-1| = 1.

2. When \(89 - (9*a)\) is negative:
   The smallest multiple of \(9\) greater than or equal to \(89\) is when a=11 (since \(11 \times {−}9={−}99 <{−}88\)).
   So if a=11 then |"
In tennis, service alternates for each game between the two players and the first player to win 6 games wins. A player winning 6-2 indicates that 8 games were played, of which the winning player won 6 and the losing player won 2.Rafa beat Roger in a set of tennis, winning six games to Roger’s three. Five games were won by the playerwho did not serve. Who served first?	"Given that Rafa won 6 games and Roger won 3 games in a set of tennis. Also, it is mentioned that five games were won by the player who did not serve.

Let's analyze the situation:
- Rafa won 6 games.
- Roger won 3 games.
- The player who did not serve won 5 games.

Since there are a total of 9 games played (6 + 3 = 9), and the player who did not serve won 5 out of these, it implies that this player must have served first. This is because if Rafa had served first, he would have served in all even-numbered games (2nd, 4th, etc.), but since he only won three odd-numbered games (1st, 3rd, etc.), it means he didn't serve first.

Therefore, the answer is:
Answer: B) Roger"
Ashish is given Rs. 158 in one-rupee denominations. He has been asked to allocate them into a number of bags such that any amount required between Re 1 and Rs. 158 can be given by handing out a certain number of bags without opening them. What is the minimum number of bags required?	"To find the minimum number of bags required, we need to consider the highest power of 2 that is less than or equal to 158. This is because any amount between Re 1 and Rs. 158 can be represented using a combination of powers of 2.

In this case, the highest power of 2 less than or equal to 158 is \(2^7 = 128\). We will need bags representing each power of 2 from \(2^0\) up to \(2^7\).

So, the minimum number of bags required would be the sum of all these powers: 
\(1 + 2 + 4 + ... +128 = (2^{8} -1) = (256-1) =255\)

Therefore, Ashish needs a minimum of \(\boxed{255}\) bags to ensure any amount between Re 1 and Rs.158 can be given without opening them.

    Answer: E"
Last year Sahara, Tata, Singhania and Birla each has 250 industries. This year everyone has sold out 10 factories due to the recession of the economy and poor turnout. The average number of industries which of them now has	"To find out the average number of industries each of them now has after selling 10 factories, we need to calculate the total number of industries they have collectively after the sale and then divide by the number of individuals.

Given:
- Initially, Sahara, Tata, Singhania, and Birla each had 250 industries.
- They all sold out 10 factories each.

Calculations:
- After selling 10 factories each, they would have: 250 - 10 = 240 industries.
- Total number of industries now: (250 + 250 + 250 + 250) - (4 * 10) = (1000 - 40) = 960
- To find the average number of industries they now have: Total / Number of individuals = 960 / 4 =240

Therefore, Answer: B)240"
Which of the following is the equation of a line that goes through the point (10,5) and has an x-intercept of 5.	"To find the equation of a line that goes through the point (10,5) and has an x-intercept of 5, we can use the point-slope form of a linear equation: y - y1 = m(x - x1), where (x1, y1) is the given point and m is the slope of the line.

Given:
Point (x1, y1) = (10, 5)
X-intercept = 5

Since the line passes through the x-intercept at (5,0), we can use this point to find the slope:

Slope (m) = (y2 - y1) / (x2 - x1)
Slope = (0 - 5) / (5 - 10)
Slope = (-5) / (-5)
Slope = 1

Now that we have found the slope as 1 and a point on the line as (10, 5), we can substitute these values into the point-slope form:

y - 5 = 1(x - 10)

Simplifying further:

y - 5 = x - 10
y = x - 10 + 5
y = x - 4

Therefore, the"
In a mixture of milk and water, there is only 26% water. After replacing the mixture with 7 liters of pure milk, the percentage of milk in the mixture become 76%. The quantity of the mixture is:	"Let's assume the total quantity of the mixture before adding pure milk is x liters.

Given:
- In the original mixture, there is 26% water. So, the quantity of water in the original mixture = 0.26x liters.
- This means that the quantity of milk in the original mixture = (1 - 0.26)x = 0.74x liters.

After adding 7 liters of pure milk:
- The total quantity of milk becomes (0.74x + 7) liters.
- The total quantity of water remains at 0.26x liters.
- The new percentage of milk in the mixture is given as 76%.

We can set up an equation based on this information:

(0.74x + 7) / (x + 7) = 76/100
Solving this equation will give us x, which represents the initial quantity of the mixture before adding pure milk.

Let's calculate it step by step:

Step 1: Simplify and cross multiply to get rid of fractions:
100(0.74x + 7) = 76(x + 7)

Step2: Expand and solve for x:
74x +700 =76x+532
2x=168
"
The least perfect square number, exactly divisible by 21, 36 and 56 is?	"To find the least perfect square number that is exactly divisible by 21, 36, and 56, we need to find the LCM (Least Common Multiple) of these numbers first.

Step 1: Find LCM of 21, 36, and 56:
Prime factorization of each number:
- \(21 = 3 * 7\)
- \(36 = 2^2 * 3^2\)
- \(56 = 2^3 * 7\)

LCM will be the product of highest powers of all prime factors involved:
\(LCM(21,36,56) = (2^3) * (3^2) * (7) =504\)

Step 2: To make it a perfect square, multiply by the missing prime factors in pairs. Since we have \(504=2^3*3^2*7\) as LCM,
we need one more factor of \(2\) to make it a perfect square.

Therefore, the least perfect square number that is exactly divisible by 
21,36 and 
56 is
\(504*{2}={1008}\).

So,
Answer: A)7056"
Mr. X died when his age was 1/59th of year of birth. What was his date of birth?	"To find Mr. X's date of birth, we need to calculate his age at the time of his death when it was 1/59th of his year of birth.

Let's denote Mr. X's age at the time of death as A and his year of birth as B.

Given that A = 1/59 * B

We also know that he died, so let's denote the year he died as D.

Therefore, D - B = A

Substitute the value of A from the first equation into this equation:

D - B = 1/59 * B

Now, we can solve for B:

58/59 * B = D
B = 59/58 * D

This means that Mr. X was born in a year that is a multiple of 58 and his date of birth can be calculated by multiplying any such multiple with 58.

Options:
A) 1947: Not a multiple of 58
B) 1948: Multiple of 58 (58*33)
C) 1980: Not a multiple of 58
D) 2000: Not a multiple of 58
E)1998: Not a multiple of 58

Therefore, Mr. X's date"
Santa distributes 2 gifts to every child in the street at the Christmas evening. He mistakenly gives 4 gifts to some children. If he distributed 50 gifts to 21 children. How many children got 4 gifts?	"Let's denote the number of children who received 2 gifts as x and the number of children who received 4 gifts as y.

From the given information:
1. Santa distributes 2 gifts to every child in the street, so the total number of 2-gifts distributed is 2x.
2. Santa mistakenly gives 4 gifts to some children, so the total number of 4-gifts distributed is 4y.
3. The total number of gifts distributed is equal to 50.

We are also given that:
- The total number of children who received gifts is 21.

So we can write two equations based on this information:
1. x + y = 21 (Total number of children)
2. 2x + 4y = 50 (Total number of gifts)

Now, let's solve these two equations simultaneously:

From equation (1):
x = 21 - y

Substitute x from equation (1) into equation (2):
2(21 - y) + 4y =50
42 - 2y +4y =50
42 +2y=50
2y=8
y=8/2
y=4

Therefore, there were **4** children who"
The ratio of A’s and B’s salary is 9 : 4. If A’s salary is increased by 15%, then his total salary becomes 5175. What is the salary of B?	"Given:
- The ratio of A's and B's salary is 9:4.
- A's salary is increased by 15%, making his total salary $5175.

Let the original salaries of A and B be 9x and 4x respectively.

After a 15% increase in A's salary, the new salary becomes:
9x + 0.15(9x) = $5175
Solving for x:
9x + 1.35x = $5175
10.35x = $5175
x = $500

Now, we can find the original salaries of A and B:
A's original salary = 9 * $500 = $4500
B's original salary = 4 * $500 = $2000

Therefore, the salary of B is $2000.

Answer: A)2000"
Of two numbers, 4 times the smaller one is less then 3 times the larger one by 5. If the sum of the numbers is larger than 6 times their difference by 6, find the two numbers.	"Let's denote the smaller number as \( x \) and the larger number as \( y \).

From the given conditions:
1. 4 times the smaller one is less than 3 times the larger one by 5:
\( 4x = 3y - 5 \)

2. The sum of the numbers is larger than 6 times their difference by 6:
\( x + y > 6(y - x) + 6 \)

Now, we can solve these two equations simultaneously to find the values of \( x \) and \( y \).

From equation (1):
\( 4x = 3y - 5 \\
\Rightarrow y = \frac{4x + 5}{3} \)

Substitute this expression for \( y \) into equation (2):
\( x + \frac{4x + 5}{3} > 6(\frac{4x+5}{3} - x) +6 \\
\Rightarrow x + \frac{4x+5}{3} >8-\frac{2}{3} \\
\Rightarrow (3x+4x+5)/3 >22/3 \\
\Rightarrow7x+5>22\\
\Rightarrow7x>17\\"
Cost of 3 cricket balls = cost of 2 pairs of leg pads. Cost of 3 pairs of leg pads = cost of 2 pairs of gloves. Cost of 3 pairs of gloves = cost of 2 cricket bats. If a cricket bat costs Rs 54, what is the cost of a cricket ball?	"Given:
Cost of 3 cricket balls = cost of 2 pairs of leg pads
Cost of 3 pairs of leg pads = cost of 2 pairs of gloves
Cost of 3 pairs of gloves = cost of 2 cricket bats

Let's find the relation between the cost of a cricket ball and a cricket bat:
1. Cost of a cricket bat = Rs 54
2. Cost ratio: 
   - Cricket ball : Leg pads : Gloves : Cricket bat = (1/3) : (1/2) : (1/3) : (1/2)
   - Simplifying, we get: Cricket ball : Cricket bat = (1/9) * Rs 54 : Rs 54
   - Therefore, Cost ratio is: Cricket ball : Cricket bat = Rs 6 : Rs 54

Now, let's find the cost of a cricket ball:
- Since the cost ratio is in terms relative to the price given for the cricket bat,
- The cost for a cricket ball would be one-ninth that price.
- So, Cost for a cricket ball = (1/9) * Rs 54
- Calculating this gives us: Cost for a cricket ball = Rs 6

Therefore, 
Answer"
Peter piper picked a pack of pickled peppers according to the function Y=(1/X)*X^3-7. If X=3 how many pickled peppers did he pick?	"Given function: Y = (1/X) * X^3 - 7

Substitute X = 3 into the function:
Y = (1/3) * 3^3 - 7
Y = (1/3) * 27 - 7
Y = 9 - 7
Y = 2

Therefore, when X = 3, Peter picked 2 pickled peppers.

Answer: D)2"
John invested $100 in each of the funds A and B. After one year, the value of the money in fund A was $10 higher than the value of the money in fund B. After another year, the value of the money in fund A was $25 higher than the value of the money in fund B. If the value of the money in each fund increased by a fixed interest compounded annually, what was the annual interest of fund A?	"Let's denote the annual interest rate for Fund A as \( r \) and for Fund B as \( s \).

After one year:
- Value of money in Fund A = $100 + $100 * \( r \) = $100(1 + r)
- Value of money in Fund B = $100 + $100 * \( s \) = $100(1 + s)

Given that the value of money in Fund A was $10 higher than the value of money in Fund B after one year, we have:
$100(1 + r) = $100(1 + s) + 10
\( 1 + r = 1 + s + 0.10 \)
\( r - s = 0.10 \)   (Equation 1)

After another year:
- Value of money in Fund A = $100(1+r)(1+r) = $100(1+r)^2
- Value of money in Fund B = $100(1+s)(1+s) =$100(1+s)^2

Given that the value of money in Fund A was now $25 higher than the value of money in Fund B, we have:
$100(1+r)^2=($100+25)("
If P represents a single digit in the four digit number x=18P6, how many different values of P are there such that x is divisible by 8?	"To find the values of P such that the number x=18P6 is divisible by 8, we need to check the divisibility rule for 8. A number is divisible by 8 if the number formed by its last three digits is divisible by 8.

Given x=18P6, we are interested in the number formed by P6.

Let's list down possible values of P and check if each corresponding number is divisible by 8:
1. If P = 0, then the number becomes 186 which is not divisible by 8.
2. If P = 1, then the number becomes 181 which is not divisible by 8.
3. If P = 2, then the number becomes 182 which is divisible by 8.
4. If P = ... (continue checking until all single-digit values of P have been considered)

Therefore, there are only one value of P (P=2) such that x=18P6 is divisible by 8.

Answer: B)1"
Vegetables contains 68% water and green vegetables contains 20% water. How much green vegetables can be obtained from 100 kg of Vegetables ?	"To find out how much green vegetables can be obtained from 100 kg of vegetables, we need to consider the water content in both types of vegetables.

Let's assume x kg of green vegetables can be obtained from 100 kg of vegetables.

Given that the total weight of the vegetable is 100 kg and it contains 68% water:
- The weight of actual vegetable matter in 100 kg = 100 - (68% of 100) = 32 kg

Since green vegetables contain only 20% water, the weight of actual vegetable matter in x kg of green vegetables would be:
- Weight of actual vegetable matter in x kg = x - (20% of x) = 0.8x

As per our assumption, this should equal the weight of actual vegetable matter in the original mix:
- Weight of actual vegetable matter in x kg = Weight of actual vegetable matter in original mix
- Therefore, we have: 
0.8x = 32
x = 32 / 0.8
x = 40

Therefore, from every 100 kg mix containing both types, we can obtain only \(40\) kgs worth as pure green veggies.

So, Answer: E) \(40\)"
M is a set of even numbers from 1 to 23 and odd numbers from 24 to 100. Find no. of zeroes in the sum of all values in the set.	"To find the sum of all values in set M, we need to calculate the sum of even numbers from 1 to 23 and odd numbers from 24 to 100 separately and then add them together.

For even numbers from 1 to 23:
The sum of an arithmetic series can be calculated using the formula: Sum = n/2 * (first term + last term), where n is the number of terms.
In this case, there are 12 even numbers from 2 to 22. So, n = 12.
The first term is 2 and the last term is 22.
Sum = 12/2 * (2 + 22) = 6 * (24) =144

For odd numbers from 24 to100:
Similarly, there are (100-24)/2 +1=39 odd numbers between these ranges.
First term=25 and Last Term=99
Sum =39/2 *(25+99)=19*124=2356

Total sum=sum of even+sum of odd=144+2356=2500

Now, we need to find how many zeroes are in the number '2500'.
There are two zeros in '2500'.

Therefore, 
Answer: A)8"
During a 10-week period, a doughnut store conducted a promotion by giving away one free doughnut with every doughnut purchased. If the store sold and gave away a total of K doughnuts per week, and each doughnut was sold for $0.25, how many dollars worth of doughnuts did the store give away?	"To find out how many dollars worth of doughnuts the store gave away during the promotion, we need to calculate the total value of the free doughnuts given with every purchase.

Given:
- Each doughnut was sold for $0.25.
- One free doughnut was given with every doughnut purchased.

Let's break down the calculation step by step:

1. For each pair of a purchased doughnut and a free doughnut, the total cost is $0.25 (for one purchased) + $0.25 (for one free) = $0.50.

2. Since one free doughnut was given with every purchased one, there were 2 doughnuts in each pair valued at $0.50.

3. The total value of K pairs of these 2-doughnut sets would be K * $0.50 = $0.50K.

Therefore, during the 10-week period, the store gave away a total of $0.50K worth of doughnuts per week.

Answer: C) K"
The mean proportional between 45 and a certain number is three times the mean proportional between 5 and 22. The number is ?	"To find the number that is the mean proportional between 45 and a certain number, we can set up the following proportion:

\( \frac{x}{45} = 3\left(\frac{22}{5}\right) \)

Solving for x:

\( x = 45 * 3\left(\frac{22}{5}\right) \)

\( x = 198 \)

Therefore, the number is 198.

Answer: There seems to be an error in the options provided. The correct answer should be \(x=198\)."
x contains 85% water and 15% oil; how many more liters of water than liters of oil are in 200 liters of solution x?	"To find out how many more liters of water than oil are in 200 liters of solution x, we first need to determine the amount of water and oil in the solution.

Given that x contains 85% water and 15% oil:
- The amount of water in 200 liters of solution x = 85% of 200 = 0.85 * 200 = 170 liters
- The amount of oil in 200 liters of solution x = 15% of 200 = 0.15 * 200 = 30 liters

Now, to find out how many more liters of water there are than oil:
Number of extra liters of water = Amount of water - Amount of oil
Number of extra liters of water = (170 -30) liters
Number extra litres=140 Litres

Therefore, there are A)50 more litresofwaterthanlitresofoilinthe200litersofsolutionx.
Answer: A)50"
A batsman has scored an average of 46 runs for a certain number of innings played in England. When he came back to India, he played another two test matches of two innings each and scored at an average of 55 runs. For the innings in England and in India taken together, he has improved his average by 2 runs over the matches played in England. Find the number of innings played in England.	"Let the total number of innings played in England be x.

Total runs scored in England = 46x

Total runs scored in India = 55*4 (2 matches with 2 innings each)

Total runs scored overall = Total runs scored in England + Total runs scored in India

Average before playing in India = Total runs scored overall / (x + 4)

According to the given information, the average after playing in India is improved by 2 runs over the average before playing in India:

Average after playing in India = Average before playing in India + 2

Now we can set up an equation and solve for x:

(46x + 220) / (x + 4) = ((46x + 220) + (55*4)) / (x + 8)

Solving this equation will give us the value of x, which represents the number of innings played in England.

Rationale: By setting up and solving this equation, we can find out how many innings were played by the batsman while he was in England.
Answer: C)14"
Mr. Bean chooses a number and he keeps on doubling the number followed by subtracting one from it, if he chooses 3 as initial number and he repeats the operation for 30 times then what is the final result?	"Given initial number = 3
Number of operations = 30

Let's calculate the result after each operation:
1st operation: (3 * 2) - 1 = 5
2nd operation: (5 * 2) - 1 = 9
3rd operation: (9 * 2) - 1 = 17
...
After the nth operation, the number will be: ((previous number) * 2) - 1

Now, let's find the final result after repeating this process for 30 times:

After the final (30th) operation:
= (((...(((3*2)-1)*2-1)*2-1)...)*2-1)
= ((((...((5*2)-1)*2-1)...)*2-1)
= ((((...((9*2)-1)*2-1)...)*2-1)
= ...
Calculating this step by step would be tedious.

However, we can observe that after each doubling and subtracting one from an odd number, we get another odd number. So, starting with an odd number like '3' and repeating this process multiple times will always give us an odd result.

Therefore, after performing this process for any number of times"
There was a simple interest of Rs. 4016.25 on a principal amount at the rate of 9% p.a. in 5 years. Find the principal amount.	"Given:
Simple interest (SI) = Rs. 4016.25
Rate of interest (R) = 9% per annum
Time (T) = 5 years

We know that the formula for calculating simple interest is:
SI = (Principal * Rate * Time) / 100

Substitute the given values into the formula:
4016.25 = (Principal * 9 * 5) / 100

Simplify the equation to find the principal amount:
4016.25 = (45 * Principal) / 100
4016.25 * 100 = 45 * Principal
401625 = 45 * Principal
Principal = 401625 / 45
Principal = Rs.8925

Therefore, 
Answer: B) Rs.8925"
